
Test date: 2025-04-05 18:08,epochs: 1485183,learnFactor: 0.005,lossThreshold: 0.00003,estimatedTime [s]: 385,trainSetSize: 64,isShuffle: true
TEST DATA - PREDICT of,2.0,x,8.0, =,15.81133
TEST DATA - PREDICT of,9.0,x,3.0, =,26.62513
TEST DATA - PREDICT of,10.0,x,5.0, =,49.52267
TEST DATA - PREDICT of,4.0,x,1.0, =,5.26306
TEST DATA - PREDICT of,7.0,x,7.0, =,48.4495
TEST DATA - PREDICT of,3.0,x,1.0, =,4.0425
TEST DATA - PREDICT of,2.0,x,5.0, =,9.72953
TEST DATA - PREDICT of,10.0,x,1.0, =,10.67677
TEST DATA - PREDICT of,6.0,x,4.0, =,23.72128
TEST DATA - PREDICT of,2.0,x,4.0, =,7.87532
TEST DATA - PREDICT of,1.0,x,9.0, =,9.50613
TEST DATA - PREDICT of,8.0,x,5.0, =,39.32843
TEST DATA - PREDICT of,1.0,x,1.0, =,0.79701
TEST DATA - PREDICT of,5.0,x,7.0, =,34.38381
TEST DATA - PREDICT of,3.0,x,3.0, =,9.2844
TEST DATA - PREDICT of,2.0,x,1.0, =,2.56331
TEST DATA - PREDICT of,5.0,x,8.0, =,39.48721
TEST DATA - PREDICT of,6.0,x,6.0, =,35.36482
TEST DATA - PREDICT of,7.0,x,10.0, =,70.68074
TEST DATA - PREDICT of,5.0,x,5.0, =,24.58764
TEST DATA - PREDICT of,9.0,x,10.0, =,91.3705
TEST DATA - PREDICT of,10.0,x,4.0, =,39.53826
TEST DATA - PREDICT of,10.0,x,10.0, =,101.63611
TEST DATA - PREDICT of,9.0,x,5.0, =,44.36151
TEST DATA - PREDICT of,4.0,x,7.0, =,27.43012
TEST DATA - PREDICT of,4.0,x,9.0, =,35.71151
TEST DATA - PREDICT of,3.0,x,7.0, =,20.52807
TEST DATA - PREDICT of,3.0,x,4.0, =,11.97368
TEST DATA - PREDICT of,4.0,x,8.0, =,31.49693
TEST DATA - PREDICT of,3.0,x,9.0, =,26.81668
TEST DATA - PREDICT of,5.0,x,6.0, =,29.42144
TEST DATA - PREDICT of,8.0,x,8.0, =,63.91022
TEST DATA - PREDICT of,5.0,x,3.0, =,15.2524
TEST DATA - PREDICT of,2.0,x,9.0, =,18.07697
